diocese,oa_2022_code,oa_in_dio
Aberdeen and Orkney,S00138937,1
Aberdeen and Orkney,S00138938,1
Aberdeen and Orkney,S00138941,1
Aberdeen and Orkney,S00138942,1
Aberdeen and Orkney,S00138945,1
Aberdeen and Orkney,S00138947,1
Aberdeen and Orkney,S00138948,1
Aberdeen and Orkney,S00138950,1
Aberdeen and Orkney,S00138960,1
Aberdeen and Orkney,S00138963,1
Aberdeen and Orkney,S00138973,1
Aberdeen and Orkney,S00138981,1
Aberdeen and Orkney,S00138982,1
Aberdeen and Orkney,S00138983,1
Aberdeen and Orkney,S00138984,1
Aberdeen and Orkney,S00138987,1
Aberdeen and Orkney,S00138989,1
Aberdeen and Orkney,S00138990,1
Aberdeen and Orkney,S00138991,1
Aberdeen and Orkney,S00138993,1
Aberdeen and Orkney,S00138994,1
Aberdeen and Orkney,S00138998,1
Aberdeen and Orkney,S00138999,1
Aberdeen and Orkney,S00139000,1
Aberdeen and Orkney,S00139003,1
Aberdeen and Orkney,S00139006,1
Aberdeen and Orkney,S00139007,1
Aberdeen and Orkney,S00139010,1
Aberdeen and Orkney,S00139013,1
Aberdeen and Orkney,S00139014,1
Aberdeen and Orkney,S00139017,1
Aberdeen and Orkney,S00139020,1
Aberdeen and Orkney,S00139023,1
Aberdeen and Orkney,S00139025,1
Aberdeen and Orkney,S00139027,1
Aberdeen and Orkney,S00139029,1
Aberdeen and Orkney,S00139030,1
Aberdeen and Orkney,S00139031,1
Aberdeen and Orkney,S00139033,1
Aberdeen and Orkney,S00139035,1
Aberdeen and Orkney,S00139036,1
Aberdeen and Orkney,S00139037,1
Aberdeen and Orkney,S00139038,1
Aberdeen and Orkney,S00139039,1
Aberdeen and Orkney,S00139042,1
Aberdeen and Orkney,S00139044,1
Aberdeen and Orkney,S00139045,1
Aberdeen and Orkney,S00139047,1
Aberdeen and Orkney,S00139048,1
Aberdeen and Orkney,S00139049,1
Aberdeen and Orkney,S00139050,1
Aberdeen and Orkney,S00139051,1
Aberdeen and Orkney,S00139052,1
Aberdeen and Orkney,S00139054,1
Aberdeen and Orkney,S00139055,1
Aberdeen and Orkney,S00139057,1
Aberdeen and Orkney,S00139059,1
Aberdeen and Orkney,S00139060,1
Aberdeen and Orkney,S00139061,1
Aberdeen and Orkney,S00139062,1
Aberdeen and Orkney,S00139063,1
Aberdeen and Orkney,S00139066,1
Aberdeen and Orkney,S00139067,1
Aberdeen and Orkney,S00139068,1
Aberdeen and Orkney,S00139069,1
Aberdeen and Orkney,S00139071,1
Aberdeen and Orkney,S00139072,1
Aberdeen and Orkney,S00139073,1
Aberdeen and Orkney,S00139075,1
Aberdeen and Orkney,S00139076,1
Aberdeen and Orkney,S00139077,1
Aberdeen and Orkney,S00139079,1
Aberdeen and Orkney,S00139081,1
Aberdeen and Orkney,S00139084,1
Aberdeen and Orkney,S00139086,1
Aberdeen and Orkney,S00139087,1
Aberdeen and Orkney,S00139089,1
Aberdeen and Orkney,S00139090,1
Aberdeen and Orkney,S00139093,1
Aberdeen and Orkney,S00139094,1
Aberdeen and Orkney,S00139097,1
Aberdeen and Orkney,S00139100,1
Aberdeen and Orkney,S00139101,1
Aberdeen and Orkney,S00139102,1
Aberdeen and Orkney,S00139104,1
Aberdeen and Orkney,S00139105,1
Aberdeen and Orkney,S00139107,1
Aberdeen and Orkney,S00139108,1
Aberdeen and Orkney,S00139112,1
Aberdeen and Orkney,S00139114,1
Aberdeen and Orkney,S00139119,1
Aberdeen and Orkney,S00139143,1
Aberdeen and Orkney,S00139157,1
Aberdeen and Orkney,S00139158,1
Aberdeen and Orkney,S00139159,1
Aberdeen and Orkney,S00165665,1
Aberdeen and Orkney,S00165666,1
Aberdeen and Orkney,S00165667,1
Aberdeen and Orkney,S00165668,1
Aberdeen and Orkney,S00165669,1
Aberdeen and Orkney,S00165671,1
Aberdeen and Orkney,S00165672,1
Aberdeen and Orkney,S00165673,1
Aberdeen and Orkney,S00165674,1
Aberdeen and Orkney,S00165676,1
Aberdeen and Orkney,S00165678,1
Aberdeen and Orkney,S00165679,1
Aberdeen and Orkney,S00165680,1
Aberdeen and Orkney,S00165681,1
Aberdeen and Orkney,S00165683,1
Aberdeen and Orkney,S00165688,1
Aberdeen and Orkney,S00165691,1
Aberdeen and Orkney,S00165692,1
Aberdeen and Orkney,S00165693,1
Aberdeen and Orkney,S00165694,1
Aberdeen and Orkney,S00165695,1
Aberdeen and Orkney,S00165698,1
Aberdeen and Orkney,S00165700,1
Aberdeen and Orkney,S00165701,1
Aberdeen and Orkney,S00165703,1
Aberdeen and Orkney,S00165705,1
Aberdeen and Orkney,S00165706,1
Aberdeen and Orkney,S00165707,1
Aberdeen and Orkney,S00165710,1
Aberdeen and Orkney,S00165712,1
Aberdeen and Orkney,S00165713,1
Aberdeen and Orkney,S00165717,1
Aberdeen and Orkney,S00165719,1
Aberdeen and Orkney,S00165720,1
Aberdeen and Orkney,S00165721,1
Aberdeen and Orkney,S00165722,1
Aberdeen and Orkney,S00165724,1
Aberdeen and Orkney,S00165726,1
Aberdeen and Orkney,S00165727,1
Aberdeen and Orkney,S00165729,1
Aberdeen and Orkney,S00165730,1
Aberdeen and Orkney,S00165732,1
Aberdeen and Orkney,S00165733,1
Aberdeen and Orkney,S00165735,1
Aberdeen and Orkney,S00165736,1
Aberdeen and Orkney,S00165737,1
Aberdeen and Orkney,S00165738,1
Aberdeen and Orkney,S00165739,1
Aberdeen and Orkney,S00165740,1
Aberdeen and Orkney,S00165741,1
Aberdeen and Orkney,S00165742,1
Aberdeen and Orkney,S00165743,1
Aberdeen and Orkney,S00165744,1
Aberdeen and Orkney,S00165745,1
Aberdeen and Orkney,S00165746,1
Aberdeen and Orkney,S00165747,1
Aberdeen and Orkney,S00165748,1
Aberdeen and Orkney,S00165749,1
Aberdeen and Orkney,S00165750,1
Aberdeen and Orkney,S00165752,1
Aberdeen and Orkney,S00165754,1
Aberdeen and Orkney,S00165755,1
Aberdeen and Orkney,S00165756,1
Aberdeen and Orkney,S00165757,1
Aberdeen and Orkney,S00165759,1
Aberdeen and Orkney,S00165760,1
Aberdeen and Orkney,S00165762,1
Aberdeen and Orkney,S00165764,1
Aberdeen and Orkney,S00165765,1
Aberdeen and Orkney,S00165766,1
Aberdeen and Orkney,S00165767,1
Aberdeen and Orkney,S00165768,1
Aberdeen and Orkney,S00165769,1
Aberdeen and Orkney,S00165770,1
Aberdeen and Orkney,S00165771,1
Aberdeen and Orkney,S00165772,1
Aberdeen and Orkney,S00165773,1
Aberdeen and Orkney,S00165774,1
Aberdeen and Orkney,S00165776,1
Aberdeen and Orkney,S00165777,1
Aberdeen and Orkney,S00165778,1
Aberdeen and Orkney,S00165779,1
Aberdeen and Orkney,S00165780,1
Aberdeen and Orkney,S00165781,1
Aberdeen and Orkney,S00165782,1
Aberdeen and Orkney,S00165783,1
Aberdeen and Orkney,S00165785,1
Aberdeen and Orkney,S00165787,1
Aberdeen and Orkney,S00165788,1
Aberdeen and Orkney,S00165789,1
Aberdeen and Orkney,S00165791,1
Aberdeen and Orkney,S00165792,1
Aberdeen and Orkney,S00165794,1
Aberdeen and Orkney,S00165796,1
Aberdeen and Orkney,S00165797,1
Aberdeen and Orkney,S00165798,1
Aberdeen and Orkney,S00165801,1
Aberdeen and Orkney,S00165812,1
Aberdeen and Orkney,S00165828,1
Aberdeen and Orkney,S00165837,1
Aberdeen and Orkney,S00165840,1
Aberdeen and Orkney,S00165848,1
Aberdeen and Orkney,S00165853,1
Aberdeen and Orkney,S00165875,1
Aberdeen and Orkney,S00165905,1
Aberdeen and Orkney,S00165906,1
Aberdeen and Orkney,S00170618,1
Aberdeen and Orkney,S00170627,1
Aberdeen and Orkney,S00170628,1
Aberdeen and Orkney,S00170629,1
Aberdeen and Orkney,S00170635,1
Aberdeen and Orkney,S00170637,1
Aberdeen and Orkney,S00170638,1
Aberdeen and Orkney,S00170639,1
Aberdeen and Orkney,S00170640,1
Aberdeen and Orkney,S00170642,1
Aberdeen and Orkney,S00170644,1
Aberdeen and Orkney,S00170647,1
Aberdeen and Orkney,S00170658,1
Aberdeen and Orkney,S00170663,1
Aberdeen and Orkney,S00170666,1
Aberdeen and Orkney,S00170669,1
Aberdeen and Orkney,S00170673,1
Aberdeen and Orkney,S00170674,1
Aberdeen and Orkney,S00170675,1
Aberdeen and Orkney,S00170678,1
Aberdeen and Orkney,S00170679,1
Aberdeen and Orkney,S00170680,1
Aberdeen and Orkney,S00170681,1
Aberdeen and Orkney,S00170682,1
Aberdeen and Orkney,S00170683,1
Aberdeen and Orkney,S00170684,1
Aberdeen and Orkney,S00170685,1
Aberdeen and Orkney,S00170686,1
Aberdeen and Orkney,S00170687,1
Aberdeen and Orkney,S00170688,1
Aberdeen and Orkney,S00170689,1
Aberdeen and Orkney,S00170690,1
Aberdeen and Orkney,S00170691,1
Aberdeen and Orkney,S00170692,1
Aberdeen and Orkney,S00170693,1
Aberdeen and Orkney,S00170694,1
Aberdeen and Orkney,S00170695,1
Aberdeen and Orkney,S00170696,1
Aberdeen and Orkney,S00170697,1
Aberdeen and Orkney,S00170699,1
Aberdeen and Orkney,S00170700,1
Aberdeen and Orkney,S00170701,1
Aberdeen and Orkney,S00170702,1
Aberdeen and Orkney,S00170703,1
Aberdeen and Orkney,S00170704,1
Aberdeen and Orkney,S00170705,1
Aberdeen and Orkney,S00170706,1
Aberdeen and Orkney,S00170707,1
Aberdeen and Orkney,S00170708,1
Aberdeen and Orkney,S00170709,1
Aberdeen and Orkney,S00170710,1
Aberdeen and Orkney,S00170711,1
Aberdeen and Orkney,S00170712,1
Aberdeen and Orkney,S00170713,1
Aberdeen and Orkney,S00170714,1
Aberdeen and Orkney,S00170715,1
Aberdeen and Orkney,S00170716,1
Aberdeen and Orkney,S00170717,1
Aberdeen and Orkney,S00170718,1
Aberdeen and Orkney,S00170719,1
Aberdeen and Orkney,S00170720,1
Aberdeen and Orkney,S00170721,1
Aberdeen and Orkney,S00170722,1
Aberdeen and Orkney,S00170723,1
Aberdeen and Orkney,S00170724,1
Aberdeen and Orkney,S00170725,1
Aberdeen and Orkney,S00170726,1
Aberdeen and Orkney,S00170727,1
Aberdeen and Orkney,S00170729,1
Aberdeen and Orkney,S00170731,1
Aberdeen and Orkney,S00170732,1
Aberdeen and Orkney,S00170734,1
Aberdeen and Orkney,S00170735,1
Aberdeen and Orkney,S00170736,1
Aberdeen and Orkney,S00170737,1
Aberdeen and Orkney,S00170738,1
Aberdeen and Orkney,S00170739,1
Aberdeen and Orkney,S00170740,1
Aberdeen and Orkney,S00170742,1
Aberdeen and Orkney,S00170743,1
Aberdeen and Orkney,S00170744,1
Aberdeen and Orkney,S00170748,1
Aberdeen and Orkney,S00170750,1
Aberdeen and Orkney,S00170751,1
Aberdeen and Orkney,S00170753,1
Aberdeen and Orkney,S00170754,1
Aberdeen and Orkney,S00170757,1
Aberdeen and Orkney,S00170758,1
Aberdeen and Orkney,S00170760,1
Aberdeen and Orkney,S00170761,1
Aberdeen and Orkney,S00174726,1
Aberdeen and Orkney,S00174727,1
Aberdeen and Orkney,S00174729,1
Aberdeen and Orkney,S00174735,1
Aberdeen and Orkney,S00174738,1
Aberdeen and Orkney,S00174751,1
Aberdeen and Orkney,S00174768,1
Aberdeen and Orkney,S00174770,1
Aberdeen and Orkney,S00174775,1
Aberdeen and Orkney,S00174776,1
Aberdeen and Orkney,S00174777,1
Aberdeen and Orkney,S00174778,1
Aberdeen and Orkney,S00174779,1
Aberdeen and Orkney,S00174780,1
Aberdeen and Orkney,S00174781,1
Aberdeen and Orkney,S00174786,1
Aberdeen and Orkney,S00174787,1
Aberdeen and Orkney,S00174788,1
Aberdeen and Orkney,S00174789,1
Aberdeen and Orkney,S00174790,1
Aberdeen and Orkney,S00174791,1
Aberdeen and Orkney,S00174792,1
Aberdeen and Orkney,S00174793,1
Aberdeen and Orkney,S00174794,1
Aberdeen and Orkney,S00174795,1
Aberdeen and Orkney,S00174796,1
Aberdeen and Orkney,S00174797,1
Aberdeen and Orkney,S00174798,1
Aberdeen and Orkney,S00174800,1
Aberdeen and Orkney,S00174801,1
Aberdeen and Orkney,S00174802,1
Aberdeen and Orkney,S00174803,1
Aberdeen and Orkney,S00174804,1
Aberdeen and Orkney,S00174806,1
Aberdeen and Orkney,S00174807,1
Aberdeen and Orkney,S00174809,1
Aberdeen and Orkney,S00174811,1
Aberdeen and Orkney,S00174817,1
Aberdeen and Orkney,S00174818,1
Aberdeen and Orkney,S00174819,1
Aberdeen and Orkney,S00174820,1
Aberdeen and Orkney,S00174821,1
Aberdeen and Orkney,S00174822,1
Aberdeen and Orkney,S00174823,1
Aberdeen and Orkney,S00174824,1
Aberdeen and Orkney,S00174825,1
Aberdeen and Orkney,S00174826,1
Aberdeen and Orkney,S00174827,1
Aberdeen and Orkney,S00174829,1
Aberdeen and Orkney,S00174830,1
Aberdeen and Orkney,S00174832,1
Aberdeen and Orkney,S00174834,1
Aberdeen and Orkney,S00174837,1
Aberdeen and Orkney,S00174839,1
Aberdeen and Orkney,S00174840,1
Aberdeen and Orkney,S00174841,1
Aberdeen and Orkney,S00174842,1
Aberdeen and Orkney,S00174843,1
Aberdeen and Orkney,S00174856,1
Aberdeen and Orkney,S00174861,1
Aberdeen and Orkney,S00174863,1
Aberdeen and Orkney,S00174867,1
Aberdeen and Orkney,S00174870,1
Aberdeen and Orkney,S00174872,1
Aberdeen and Orkney,S00174873,1
Aberdeen and Orkney,S00174877,1
Argyll and The Isles,S00163794,2.6e-4
Argyll and The Isles,S00163730,0.0012
Argyll and The Isles,S00170791,0.00123
Argyll and The Isles,S00178631,0.00149
Argyll and The Isles,S00163898,0.00328
Argyll and The Isles,S00163744,0.00555
Argyll and The Isles,S00178644,0.00638
Argyll and The Isles,S00140556,0.01176
Argyll and The Isles,S00163839,0.02168
Argyll and The Isles,S00163879,0.39714
Argyll and The Isles,S00140565,0.5479
Argyll and The Isles,S00140976,0.55439
Argyll and The Isles,S00140865,0.55529
Argyll and The Isles,S00140872,0.56871
Argyll and The Isles,S00178632,0.58802
Argyll and The Isles,S00163935,0.59554
Argyll and The Isles,S00141024,0.64942
Argyll and The Isles,S00141029,0.65669
Argyll and The Isles,S00140891,0.66437
Argyll and The Isles,S00140734,0.68339
Argyll and The Isles,S00140922,0.75936
Argyll and The Isles,S00140969,0.77073
Argyll and The Isles,S00141143,0.77355
Argyll and The Isles,S00166748,0.78187
Argyll and The Isles,S00141019,0.80084
Argyll and The Isles,S00140671,0.80266
Argyll and The Isles,S00166527,0.80498
Argyll and The Isles,S00140876,0.80687
Argyll and The Isles,S00141014,0.80965
Argyll and The Isles,S00140984,0.81718
Argyll and The Isles,S00140950,0.82159
Argyll and The Isles,S00140566,0.82555
Argyll and The Isles,S00141060,0.82992
Argyll and The Isles,S00141007,0.83298
Argyll and The Isles,S00140398,0.83474
Argyll and The Isles,S00166504,0.84711
Argyll and The Isles,S00163504,0.86378
Argyll and The Isles,S00140861,0.87686
Argyll and The Isles,S00166545,0.87769
Argyll and The Isles,S00166365,0.87823
Argyll and The Isles,S00141037,0.88524
Argyll and The Isles,S00140902,0.88583
Argyll and The Isles,S00140966,0.89471
Argyll and The Isles,S00140912,0.89831
Argyll and The Isles,S00140579,0.89918
Argyll and The Isles,S00140447,0.89971
Argyll and The Isles,S00140573,0.90166
Argyll and The Isles,S00166559,0.91063
Argyll and The Isles,S00140994,0.91347
Argyll and The Isles,S00166402,0.91441
Argyll and The Isles,S00140837,0.91652
Argyll and The Isles,S00141009,0.91692
Argyll and The Isles,S00166500,0.91864
Argyll and The Isles,S00140445,0.91991
Argyll and The Isles,S00140975,0.92211
Argyll and The Isles,S00163874,0.92286
Argyll and The Isles,S00166573,0.92635
Argyll and The Isles,S00166548,0.92793
Argyll and The Isles,S00140555,0.92801
Argyll and The Isles,S00140442,0.92908
Argyll and The Isles,S00140653,0.93073
Argyll and The Isles,S00140995,0.9317
Argyll and The Isles,S00140562,0.93419
Argyll and The Isles,S00140981,0.93493
Argyll and The Isles,S00140962,0.94326
Argyll and The Isles,S00141083,0.94341
Argyll and The Isles,S00140415,0.94463
Argyll and The Isles,S00141164,0.9451
Argyll and The Isles,S00163798,0.94764
Argyll and The Isles,S00141102,0.94781
Argyll and The Isles,S00166599,0.94838
Argyll and The Isles,S00140570,0.9498
Argyll and The Isles,S00166540,0.95028
Argyll and The Isles,S00141023,0.95034
Argyll and The Isles,S00140395,0.95358
Argyll and The Isles,S00140559,0.95423
Argyll and The Isles,S00140991,0.95442
Argyll and The Isles,S00163939,0.95564
Argyll and The Isles,S00140990,0.95594
Argyll and The Isles,S00141085,0.95618
Argyll and The Isles,S00166537,0.95978
Argyll and The Isles,S00140972,0.95992
Argyll and The Isles,S00166490,0.96003
Argyll and The Isles,S00166560,0.96056
Argyll and The Isles,S00140543,0.96181
Argyll and The Isles,S00140402,0.96185
Argyll and The Isles,S00166366,0.96213
Argyll and The Isles,S00166399,0.96219
Argyll and The Isles,S00163703,0.96275
Argyll and The Isles,S00162449,0.96296
Argyll and The Isles,S00162740,0.9631
Argyll and The Isles,S00166538,0.96411
Argyll and The Isles,S00162636,0.96423
Argyll and The Isles,S00163934,0.96444
Argyll and The Isles,S00163790,0.96555
Argyll and The Isles,S00140834,0.9659
Argyll and The Isles,S00166588,0.96661
Argyll and The Isles,S00166413,0.96666
Argyll and The Isles,S00166555,0.96699
Argyll and The Isles,S00140496,0.96744
Argyll and The Isles,S00141006,0.96761
Argyll and The Isles,S00140429,0.96822
Argyll and The Isles,S00166544,0.96855
Argyll and The Isles,S00166574,0.96865
Argyll and The Isles,S00140561,0.96873
Argyll and The Isles,S00162616,0.96931
Argyll and The Isles,S00162638,0.97035
Argyll and The Isles,S00140552,0.97046
Argyll and The Isles,S00166390,0.971
Argyll and The Isles,S00162500,0.97103
Argyll and The Isles,S00166590,0.97113
Argyll and The Isles,S00140646,0.97122
Argyll and The Isles,S00140397,0.97135
Argyll and The Isles,S00166583,0.97153
Argyll and The Isles,S00141148,0.97161
Argyll and The Isles,S00166597,0.97174
Argyll and The Isles,S00140980,0.97227
Argyll and The Isles,S00140446,0.97251
Argyll and The Isles,S00166542,0.97252
Argyll and The Isles,S00140438,0.97259
Argyll and The Isles,S00166549,0.97277
Argyll and The Isles,S00166374,0.97319
Argyll and The Isles,S00166564,0.97346
Argyll and The Isles,S00163938,0.97353
Argyll and The Isles,S00166529,0.97395
Argyll and The Isles,S00166498,0.97429
Argyll and The Isles,S00140554,0.9743
Argyll and The Isles,S00166553,0.97434
Argyll and The Isles,S00166397,0.97436
Argyll and The Isles,S00163728,0.97444
Argyll and The Isles,S00166536,0.97476
Argyll and The Isles,S00162645,0.97515
Argyll and The Isles,S00166518,0.97529
Argyll and The Isles,S00166589,0.97537
Argyll and The Isles,S00166371,0.97592
Argyll and The Isles,S00140413,0.97611
Argyll and The Isles,S00141088,0.97612
Argyll and The Isles,S00140392,0.97645
Argyll and The Isles,S00166558,0.97661
Argyll and The Isles,S00162947,0.97699
Argyll and The Isles,S00162775,0.97721
Argyll and The Isles,S00166441,0.97722
Argyll and The Isles,S00162508,0.97751999999999994
Argyll and The Isles,S00162965,0.97754
Argyll and The Isles,S00141137,0.9782
Argyll and The Isles,S00140574,0.97835
Argyll and The Isles,S00166567,0.97866
Argyll and The Isles,S00166415,0.97929
Argyll and The Isles,S00140462,0.97938
Argyll and The Isles,S00141155,0.97938
Argyll and The Isles,S00166450,0.97956
Argyll and The Isles,S00140440,0.97971
Argyll and The Isles,S00166393,0.98023
Argyll and The Isles,S00140987,0.98031
Argyll and The Isles,S00163878,0.98068
Argyll and The Isles,S00164043,0.98108
Argyll and The Isles,S00166472,0.9811
Argyll and The Isles,S00166440,0.98113
Argyll and The Isles,S00141145,0.98116
Argyll and The Isles,S00163843,0.98171
Argyll and The Isles,S00140612,0.98198
Argyll and The Isles,S00140869,0.98212
Argyll and The Isles,S00166557,0.98227
Argyll and The Isles,S00163955,0.98239
Argyll and The Isles,S00140978,0.98255
Argyll and The Isles,S00141038,0.98262
Argyll and The Isles,S00141072,0.98269
Argyll and The Isles,S00140458,0.98314
Argyll and The Isles,S00166387,0.98321
Argyll and The Isles,S00166392,0.98347
Argyll and The Isles,S00140988,0.9835
Argyll and The Isles,S00166556,0.98359
Argyll and The Isles,S00140569,0.98394
Argyll and The Isles,S00166516,0.98408
Argyll and The Isles,S00163586,0.9842
Argyll and The Isles,S00166582,0.98426
Argyll and The Isles,S00140547,0.98443
Argyll and The Isles,S00140677,0.98455
Argyll and The Isles,S00166425,0.98465
Argyll and The Isles,S00164076,0.98478
Argyll and The Isles,S00166587,0.98487
Argyll and The Isles,S00140879,0.9849
Argyll and The Isles,S00166546,0.98517
Argyll and The Isles,S00166424,0.98563
Argyll and The Isles,S00140546,0.98574
Argyll and The Isles,S00166521,0.98575
Argyll and The Isles,S00163005,0.98592
Argyll and The Isles,S00166591,0.98644
Argyll and The Isles,S00162949,0.98658
Argyll and The Isles,S00163840,0.98658
Argyll and The Isles,S00166414,0.98679
Argyll and The Isles,S00140996,0.98688
Argyll and The Isles,S00141091,0.98696
Argyll and The Isles,S00166373,0.98698
Argyll and The Isles,S00166596,0.98708
Argyll and The Isles,S00140391,0.98713
Argyll and The Isles,S00166595,0.9872
Argyll and The Isles,S00140441,0.98723
Argyll and The Isles,S00141076,0.98788
Argyll and The Isles,S00166561,0.9882
Argyll and The Isles,S00166552,0.98822
Argyll and The Isles,S00140637,0.98839
Argyll and The Isles,S00166592,0.98867
Argyll and The Isles,S00166506,0.98868
Argyll and The Isles,S00140977,0.98872
Argyll and The Isles,S00166437,0.98881
Argyll and The Isles,S00141087,0.98885
Argyll and The Isles,S00166389,0.98887
Argyll and The Isles,S00163765,0.989
Argyll and The Isles,S00166396,0.989
Argyll and The Isles,S00166386,0.98901
Argyll and The Isles,S00166520,0.98901
Argyll and The Isles,S00164051,0.98904
Argyll and The Isles,S00166419,0.98923
Argyll and The Isles,S00141134,0.9893
Argyll and The Isles,S00140993,0.98931
Argyll and The Isles,S00162726,0.98949
Argyll and The Isles,S00140451,0.9895
Argyll and The Isles,S00166586,0.98952
Argyll and The Isles,S00140597,0.98956
Argyll and The Isles,S00141031,0.98957
Argyll and The Isles,S00140610,0.98964
Argyll and The Isles,S00166585,0.98971
Argyll and The Isles,S00140457,0.98973
Argyll and The Isles,S00166433,0.98979
Argyll and The Isles,S00166554,0.98996
Argyll and The Isles,S00166593,0.98999
Argyll and The Isles,S00166368,0.99
Argyll and The Isles,S00166563,0.99051
Argyll and The Isles,S00140680,0.99063
Argyll and The Isles,S00140886,0.99063
Argyll and The Isles,S00162644,0.99087
Argyll and The Isles,S00140563,0.99091
Argyll and The Isles,S00166584,0.99097
Argyll and The Isles,S00166367,0.99099
Argyll and The Isles,S00166572,0.99111
Argyll and The Isles,S00166533,0.9912
Argyll and The Isles,S00140560,0.99131
Argyll and The Isles,S00140427,0.99132
Argyll and The Isles,S00166491,0.99142
Argyll and The Isles,S00163581,0.99158
Argyll and The Isles,S00166377,0.99172
Argyll and The Isles,S00166376,0.99177
Argyll and The Isles,S00166407,0.99188
Argyll and The Isles,S00141082,0.99205
Argyll and The Isles,S00163877,0.99222
Argyll and The Isles,S00141036,0.99228
Argyll and The Isles,S00166385,0.99234
Argyll and The Isles,S00162931,0.99268
Argyll and The Isles,S00163710,0.99272
Argyll and The Isles,S00163722,0.99274
Argyll and The Isles,S00162559,0.99294
Argyll and The Isles,S00140606,0.99295
Argyll and The Isles,S00166539,0.99298
Argyll and The Isles,S00141107,0.993
Argyll and The Isles,S00166428,0.99305
Argyll and The Isles,S00141008,0.99306
Argyll and The Isles,S00166412,0.99322
Argyll and The Isles,S00140439,0.99328
Argyll and The Isles,S00164037,0.99331
Argyll and The Isles,S00166401,0.99339
Argyll and The Isles,S00166526,0.99343
Argyll and The Isles,S00163940,0.9935
Argyll and The Isles,S00141077,0.99356
Argyll and The Isles,S00166532,0.99363
Argyll and The Isles,S00141069,0.99365
Argyll and The Isles,S00141020,0.99368
Argyll and The Isles,S00140676,0.99374
Argyll and The Isles,S00166416,0.99387
Argyll and The Isles,S00140590,0.99391
Argyll and The Isles,S00140408,0.99401
Argyll and The Isles,S00140974,0.99404
Argyll and The Isles,S00140411,0.9941
Argyll and The Isles,S00166379,0.99412
Argyll and The Isles,S00140983,0.99421
Argyll and The Isles,S00140885,0.99422
Argyll and The Isles,S00166510,0.99433
Argyll and The Isles,S00140578,0.99435
Argyll and The Isles,S00166535,0.99441
Argyll and The Isles,S00166370,0.99444
Argyll and The Isles,S00162753,0.99448
Argyll and The Isles,S00140596,0.9945
Argyll and The Isles,S00163721,0.99456
Argyll and The Isles,S00140557,0.99482
Argyll and The Isles,S00166571,0.99483
Argyll and The Isles,S00140593,0.99486
Argyll and The Isles,S00140423,0.99501
Argyll and The Isles,S00166509,0.99505999999999994
Argyll and The Isles,S00162921,0.99511
Argyll and The Isles,S00166515,0.99515
Argyll and The Isles,S00140634,0.9953
Argyll and The Isles,S00140627,0.99534
Argyll and The Isles,S00140532,0.99535
Argyll and The Isles,S00140393,0.99536
Argyll and The Isles,S00140406,0.99543
Argyll and The Isles,S00141022,0.99547
Argyll and The Isles,S00163865,0.99559
Argyll and The Isles,S00140544,0.99564
Argyll and The Isles,S00141070,0.99568
Argyll and The Isles,S00140824,0.9958
Argyll and The Isles,S00140444,0.99581
Argyll and The Isles,S00166541,0.99592
Argyll and The Isles,S00141163,0.99593
Argyll and The Isles,S00166531,0.99596
Argyll and The Isles,S00163557,0.99603
Argyll and The Isles,S00166524,0.99607
Argyll and The Isles,S00166594,0.99617
Argyll and The Isles,S00166525,0.9962
Argyll and The Isles,S00163805,0.99627
Argyll and The Isles,S00167720,0.9963
Argyll and The Isles,S00140608,0.99635
Argyll and The Isles,S00140986,0.99637
Argyll and The Isles,S00141081,0.99637
Argyll and The Isles,S00140424,0.99638
Argyll and The Isles,S00166528,0.99641
Argyll and The Isles,S00166543,0.99646
Argyll and The Isles,S00163409,0.99647
Argyll and The Isles,S00166421,0.99652
Argyll and The Isles,S00166410,0.99653
Argyll and The Isles,S00162653,0.99655
Argyll and The Isles,S00141021,0.99656
Argyll and The Isles,S00140595,0.99658
Argyll and The Isles,S00166578,0.99658
Argyll and The Isles,S00164085,0.99664
Argyll and The Isles,S00164047,0.99666
Argyll and The Isles,S00166570,0.99682
Argyll and The Isles,S00166575,0.99684
Argyll and The Isles,S00166550,0.99686
Argyll and The Isles,S00140394,0.99691
Argyll and The Isles,S00178642,0.99694
Argyll and The Isles,S00166522,0.99695
Argyll and The Isles,S00140407,0.99697
Argyll and The Isles,S00166547,0.99697
Argyll and The Isles,S00163723,0.99699
Argyll and The Isles,S00164057,0.99699
Argyll and The Isles,S00162950,0.99703
Argyll and The Isles,S00166581,0.99706
Argyll and The Isles,S00141032,0.99709
Argyll and The Isles,S00140432,0.99713
Argyll and The Isles,S00140417,0.99722
Argyll and The Isles,S00166459,0.99724
Argyll and The Isles,S00164055,0.99728000000000006
Argyll and The Isles,S00141101,0.99729
Argyll and The Isles,S00140925,0.99733
Argyll and The Isles,S00140970,0.99736
Argyll and The Isles,S00140662,0.99744
Argyll and The Isles,S00163844,0.99745
Argyll and The Isles,S00166394,0.99751
Argyll and The Isles,S00166427,0.99757
Argyll and The Isles,S00163893,0.99763
Argyll and The Isles,S00141001,0.99764
Argyll and The Isles,S00164059,0.99765
Argyll and The Isles,S00141089,0.99766
Argyll and The Isles,S00163873,0.99767
Argyll and The Isles,S00166523,0.99771
Argyll and The Isles,S00166519,0.99773
Argyll and The Isles,S00140598,0.99774
Argyll and The Isles,S00140605,0.99776
Argyll and The Isles,S00166429,0.99777
